epoch,train_loss,val_acc,val_loss,secs,alpha,tau,beta
0,1.4848071247636847,0.7852147852147852,0.7485849550077608,71.8487241268158,0.8,2.0,0.0
1,1.1338130944805718,0.8061938061938062,0.6738312003853081,57.19942665100098,0.8,2.0,0.0
2,1.0490439426201728,0.7932067932067932,0.6933253571227357,57.43674302101135,0.8,2.0,0.0
3,0.9650856789440639,0.8171828171828172,0.611120361190933,57.294941902160645,0.8,2.0,0.0
4,0.9226360646532198,0.8161838161838162,0.6323346300915881,57.25779104232788,0.8,2.0,0.0
5,0.8727486896786982,0.8461538461538461,0.6050060893391277,57.53205060958862,0.8,2.0,0.0
6,0.8588833307913809,0.8441558441558441,0.5963548894647832,58.06516194343567,0.8,2.0,0.0
7,0.8294974082206693,0.8371628371628371,0.6325589388638705,57.88509798049927,0.8,2.0,0.0
8,0.8160736862500962,0.8481518481518482,0.600311178308386,57.80811142921448,0.8,2.0,0.0
9,0.7924446739585865,0.8591408591408591,0.6007771582512946,57.532137632369995,0.8,2.0,0.0
10,0.773580614612378,0.8471528471528471,0.5934910159725528,57.35370445251465,0.8,2.0,0.0
11,0.7689486777731424,0.8491508491508492,0.5570398534570898,57.23424220085144,0.8,2.0,0.0
12,0.7509421397888031,0.8571428571428571,0.5438844907533872,57.07563900947571,0.8,2.0,0.0
13,0.7487847139253766,0.8541458541458542,0.5531361567509638,57.19598722457886,0.8,2.0,0.0
14,0.7397339427692233,0.8611388611388612,0.5548678606778353,57.27443861961365,0.8,2.0,0.0
15,0.7288721921950706,0.8531468531468531,0.5329306542456567,57.50794506072998,0.8,2.0,0.0
16,0.7231193770185517,0.8531468531468531,0.5405586844795829,57.54170346260071,0.8,2.0,0.0
17,0.722072081763122,0.8531468531468531,0.5686444369229403,57.402106523513794,0.8,2.0,0.0
18,0.7128242700824384,0.8481518481518482,0.5530915836711506,57.58583927154541,0.8,2.0,0.0
19,0.7140783961251187,0.8571428571428571,0.5454950065879555,57.28845405578613,0.8,2.0,0.0
20,0.7099233639563372,0.8571428571428571,0.5329140578354751,57.2705192565918,0.8,2.0,0.0
21,0.7060165523462391,0.8591408591408591,0.5511220604270607,57.55876445770264,0.8,2.0,0.0
22,0.6989273747091796,0.8441558441558441,0.5597126719715831,57.28682088851929,0.8,2.0,0.0
23,0.6962027515392331,0.8551448551448552,0.539683714494124,56.91027235984802,0.8,2.0,0.0
24,0.6926327338742462,0.8501498501498501,0.5345934764012232,57.20863080024719,0.8,2.0,0.0
25,0.6913698999755903,0.8571428571428571,0.5369417893660294,57.067917585372925,0.8,2.0,0.0
26,0.6901814270631733,0.8531468531468531,0.5528858663080694,57.46350693702698,0.8,2.0,0.0
27,0.6860198181467968,0.8561438561438561,0.5138284738485391,57.15586471557617,0.8,2.0,0.0
28,0.6843502323569652,0.8471528471528471,0.5254862420446985,57.55378007888794,0.8,2.0,0.0
29,0.6835708669520989,0.8511488511488512,0.5302900482010056,57.263322591781616,0.8,2.0,0.0
