model,class,tsne_centroid_dist
resnet18,akiec,5.590188980102539
resnet18,bcc,14.165453910827637
resnet18,bkl,23.145206451416016
resnet18,df,9.607282638549805
resnet18,mel,13.75972843170166
resnet18,nv,4.843280792236328
resnet18,vasc,3.885145902633667
mbv2,akiec,5.5845136642456055
mbv2,bcc,14.158064842224121
mbv2,bkl,23.158498764038086
mbv2,df,9.601470947265625
mbv2,mel,13.766897201538086
mbv2,nv,4.848019123077393
mbv2,vasc,3.884784698486328
effb0,akiec,5.579580783843994
effb0,bcc,14.153697967529297
effb0,bkl,23.156110763549805
effb0,df,9.59568977355957
effb0,mel,13.759167671203613
effb0,nv,4.846449375152588
effb0,vasc,3.8912789821624756
