acc,macro_f1,tag,model,seed
0.810379241516966,0.6557557597068773,gaussian_0.1,distilled_efficientnetb0_ham10000,seed_0
0.810379241516966,0.6559021097524601,gaussian_0.2,distilled_efficientnetb0_ham10000,seed_0
0.811377245508982,0.6581297083750203,gaussian_0.3,distilled_efficientnetb0_ham10000,seed_0
0.8158682634730539,0.6627978818056794,jpeg_90,distilled_efficientnetb0_ham10000,seed_0
0.8133732534930139,0.6541728560051167,jpeg_70,distilled_efficientnetb0_ham10000,seed_0
0.8158682634730539,0.6590621358236755,jpeg_50,distilled_efficientnetb0_ham10000,seed_0
0.779441117764471,0.5839460917403245,contrast_0.8,distilled_efficientnetb0_ham10000,seed_0
0.659181636726547,0.3454133533770131,contrast_0.6,distilled_efficientnetb0_ham10000,seed_0
0.7839321357285429,0.5410765632639023,gaussian_0.1,distilled_mobilenetv2_ham10000,seed_0
0.7829341317365269,0.5399660783726107,gaussian_0.2,distilled_mobilenetv2_ham10000,seed_0
0.7819361277445109,0.5363182923356996,gaussian_0.3,distilled_mobilenetv2_ham10000,seed_0
0.7869261477045908,0.5445834764633279,jpeg_90,distilled_mobilenetv2_ham10000,seed_0
0.782435129740519,0.5364554842521907,jpeg_70,distilled_mobilenetv2_ham10000,seed_0
0.7849301397205589,0.5427376336300381,jpeg_50,distilled_mobilenetv2_ham10000,seed_0
0.7604790419161677,0.4830493288242466,contrast_0.8,distilled_mobilenetv2_ham10000,seed_0
0.6402195608782435,0.2696718929855672,contrast_0.6,distilled_mobilenetv2_ham10000,seed_0
0.8517964071856288,0.7545325524585199,gaussian_0.1,distilled_resnet18_ham10000,seed_0
0.8517964071856288,0.7545325524585199,gaussian_0.2,distilled_resnet18_ham10000,seed_0
0.8512974051896207,0.7543051830125057,gaussian_0.3,distilled_resnet18_ham10000,seed_0
0.8552894211576846,0.7575328309169981,jpeg_90,distilled_resnet18_ham10000,seed_0
0.8527944111776448,0.747066711622274,jpeg_70,distilled_resnet18_ham10000,seed_0
0.8507984031936128,0.7459411468184963,jpeg_50,distilled_resnet18_ham10000,seed_0
0.81187624750499,0.6633244778535058,contrast_0.8,distilled_resnet18_ham10000,seed_0
0.719560878243513,0.45061121091060885,contrast_0.6,distilled_resnet18_ham10000,seed_0
